permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
BP-2016-04277,2017-03-08,70000,Addition / Alteration,Dynamic Business Development Ltd,Retail Uses,2017, V7Y 1K8
BP-2017-00208,2017-03-13,21500,Addition / Alteration,Point Grey New Ventures Inc,Dwelling Uses,2017, V6R 3E6
BP-2017-00942,2017-03-13,500000,Addition / Alteration,Weimin Ni DBA: Rhine River Luxury Homes Ltd.,Dwelling Uses,2017, V6C 0B2
DB-2016-01185,2017-03-13,1102500,New Building,1070882 BC Ltd,Dwelling Uses,2017, V5Z 2R7
DB-2016-01279,2017-03-13,15000,Demolition / Deconstruction,JB Site Services Inc,Dwelling Uses,2017, V5N 3C4
DB-2016-00754,2017-03-14,1006500,New Building,Accent Construction Co Ltd,Dwelling Uses,2017, V6L 1Y9
BP-2016-01840,2017-03-15,15000,Salvage and Abatement,legendary construction (vancouver) ltd,Dwelling Uses,2017, V6H 1R6
BP-2017-01016,2017-03-15,16500,Addition / Alteration,Acme Fire and Safety co,Dwelling Uses,2017, V5X 4L6
DB-2016-04068,2017-03-15,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V5V 1G7
BP-2017-00273,2017-03-16,80000,Addition / Alteration,All Spaces Project Management Ltd,Office Uses,2017, V6E 3C9
BP-2017-00951,2017-03-16,85000,Addition / Alteration,Alka Pool Construction Ltd,Dwelling Uses,2017, V6H 1T3
BP-2017-01214,2017-03-16,12000,Addition / Alteration,Matra Construction,Office Uses,2017, V6B 1R8
DB-2016-02407,2017-03-16,15000,Demolition / Deconstruction,Randhill Construction Ltd,Dwelling Uses,2017, V5V 4J8
DB-2017-00429,2017-03-16,18000,Addition / Alteration,Home Vitality Solutions Ltd,Dwelling Uses,2017, V5V 2E5
BP-2017-00909,2017-03-17,100000,Addition / Alteration,Chad Smith Contracting,Dwelling Uses,2017, V6G 2P9
BP-2016-04240,2017-03-20,20000,Demolition / Deconstruction,Fleck Contracting Ltd,Dwelling Uses,2017, V5R 3R1
BP-2016-00147,2017-03-21,550000,New Building,PD Moore Homes Inc,Dwelling Uses,2017, V5N 2B6
BP-2017-00945,2017-03-21,15000,Addition / Alteration,Quan Cu Lac,Office Uses,2017, V5Z 0E9
BP-2017-00997,2017-03-21,50000,Addition / Alteration,Stonegate Construction,Retail Uses,2017, V6C 1W8
BP-2017-01096,2017-03-22,37000,Addition / Alteration,Canadoo Enterprises Inc,Dwelling Uses,2017, V6H 1S5
DB-2016-00677,2017-03-22,15000,Demolition / Deconstruction,JVT Excavating & Demolition Ltd,Dwelling Uses,2017, V5S 3K8
BP-2016-04426,2017-03-23,910000,New Building,MP Construction Ltd,Dwelling Uses,2017, V6L 1Y8
DB-2016-01348,2017-03-23,15000,Demolition / Deconstruction,Gr8 Demolition & Excavation Ltd,Dwelling Uses,2017, V5M 2X1
DB-2016-03517,2017-03-23,200000,New Building,New Galaxy Building & Development Ltd,Dwelling Uses,2017, V5M 1R6
BP-2017-00772,2017-03-24,18000,Addition / Alteration,Rechsteiner Construction,Dwelling Uses,2017, V6J 3J8
BP-2017-00992,2017-03-24,120000,Addition / Alteration,Class 1 Construction Inc,Dwelling Uses,2017, V6K 4T4
BP-2017-01469,2017-03-24,6000,Addition / Alteration,Fina Electrical Systems Ltd,Dwelling Uses,2017, V6J 1W5
DB-2016-02079,2017-03-24,600110,New Building,Milus Construction Ltd,Dwelling Uses,2017, V5P 3P8
DB-2017-01166,2017-03-24,2500,Addition / Alteration,Knaps Construction Ltd,Dwelling Uses,2017, V5M 4C5
DB-2017-01232,2017-03-27,5000,Addition / Alteration,0952548 B.C. Ltd,Dwelling Uses,2017, V6M 2T5
DB452299,2017-03-27,669200,New Building,G2 Construction Ltd,Dwelling Uses,2017, V5K 4B9
DB452300,2017-03-27,415910,New Building,G2 Construction Ltd,Dwelling Uses,2017, V5K 5C8
DB452308,2017-03-27,151400,New Building,G2 Construction Ltd,Dwelling Uses,2017, V5K 4B9
BP-2017-01199,2017-03-28,2450,Addition / Alteration,I WILL ELECTRIC LTD,Office Uses,2017, V5Y 1P8
BU467317,2017-03-28,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2017, V6M 3H7
BP-2016-04287,2017-03-29,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5K 1Y5
BP-2017-01271,2017-03-29,20000,Addition / Alteration,JK's Construction Inc,Dwelling Uses,2017, V6E 4V3
BP-2017-01303,2017-03-30,4385,Addition / Alteration,Belfor (Canada) Inc,Dwelling Uses,2017, V5N 1S2
BP-2017-00678,2017-03-31,124500,Addition / Alteration,TSG Construction Ltd,Retail Uses,2017, V7Y 1K8
BP-2017-01426,2017-03-31,20000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Service Uses,2017, V1V 1V1
DB-2017-00129,2017-03-31,800,Addition / Alteration,0764153 BC Ltd,Dwelling Uses,2017, V5M 1V5
DB-2017-01058,2017-04-03,25000,Addition / Alteration,T Jones Enterprises Inc,Dwelling Uses,2017, V6H 0A7
BP-2016-03004,2017-04-04,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V5K 2L3
BP-2016-03296,2017-04-04,830000,New Building,Four Corners Homes Ltd,Dwelling Uses,2017, V5T 2S4
BP-2017-01446,2017-04-04,15000,Addition / Alteration,Degan Construction Ltd,Office Uses,2017, V6C 0C5
BP-2017-01522,2017-04-04,128000,Addition / Alteration,Luke Genaro Barry Kerton,Office Uses,2017, V6B 1M1
DB452312,2017-04-04,830475,New Building,Doost Enterprises Ltd,Dwelling Uses,2017, V5R 1J2
DB452318,2017-04-04,15000,Demolition / Deconstruction,HAWK SITEWORKS INC.,Dwelling Uses,2017, V5R 1J2
BP-2017-01160,2017-04-05,48000,Addition / Alteration,VGC Vancouver General Contractors Inc,Dwelling Uses,2017, V6H 1B8
BP-2017-01164,2017-04-06,25000,Addition / Alteration,On Side Restoration Services Ltd,Dwelling Uses,2017, V6H 1A4
BP-2017-01587,2017-04-06,20000,Addition / Alteration,Pacific One Contracting,Office Uses,2017, V6B 4N9
DB-2016-00045,2017-04-06,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5Y 3J9
DB-2016-02423,2017-04-06,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V5R 1M5
DB-2017-01263,2017-04-06,20199,Addition / Alteration,Ashton Service Group,Dwelling Uses,2017, V6Z 2Z5
