permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2018-05308,2019-05-30,231305,New Building,Big Tree Construction Ltd,Dwelling Uses,2019, V6H 2B3
BP-2019-00261,2019-05-31,15000,Demolition / Deconstruction,DKJ Development,Dwelling Uses,2019, V6N 2H4
DB-2018-06529,2019-05-31,15000,Demolition / Deconstruction,CANTON EXCAVATING LTD.,Dwelling Uses,2019, V5W 2V7
DB-2019-00185,2019-05-31,173592.5,New Building,Ga Mon Leung (Harry),Dwelling Uses,2019, V5N 2J5
DB-2019-00359,2019-05-31,225000,New Building,Octave Homes Inc,Dwelling Uses,2019, V5P 2N1
BP-2019-01374,2019-06-03,44385,Demolition / Deconstruction,MWL Demolition Ltd,Transportation and Storage Uses,2019, V5L 1P5
DB-2019-00361,2019-05-31,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5P 2N1
BP-2019-01745,2019-06-03,8600,Addition / Alteration,ARPAC Storage Systems Corporation,Retail Uses,2019, V5N 2T7
DB-2019-01349,2019-06-03,191100,New Building,Lanefab Design Build Ltd,Dwelling Uses,2019, V6R 2H3
DB-2019-01719,2019-06-03,5000,Addition / Alteration,C & C Construction Co Ltd.,Dwelling Uses,2019, V5W 1C2
BP-2019-01107,2019-06-04,270000,Addition / Alteration,Fusion Project Management Ltd,Service Uses,2019, V1V 1V1
BP-2019-02198,2019-06-04,95000,Addition / Alteration,Corview Construction Ltd,Office Uses,2019, V6B 4M9
DB-2018-04631,2019-06-04,635060,New Building,JBI Development Ltd,Dwelling Uses,2019, V5K 2R1
DB-2018-04632,2019-06-04,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5K 2R1
DB-2018-04634,2019-06-04,143312.5,New Building,JBI Development Ltd,Dwelling Uses,2019, V5K 2R1
BP-2018-03985,2019-06-05,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2019, V5M 2K5
DB-2018-05654,2019-06-04,15000,Demolition / Deconstruction,DREAMHOUSE CONSTRUCTION LTD.,Dwelling Uses,2019, V5P 1E8
DB-2018-06390,2019-06-04,717595,New Building,Jen Mei Enterprises Ltd,Dwelling Uses,2019, V6K 2Y2
DB-2018-06695,2019-06-04,200250,New Building,Mezetta Homes Ltd,Dwelling Uses,2019, V5N 2X7
BP-2019-01949,2019-06-05,37600,Demolition / Deconstruction,Companion Construction Ltd,Service Uses,2019, V1V 1V1
DB-2018-01766,2019-06-05,623250,New Building,Ronald E Schmalz,Dwelling Uses,2019, V5X 1T6
DB-2018-01767,2019-06-05,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2019, V5X 1T6
DB-2018-01810,2019-06-05,81000,Addition / Alteration,LS Developments,Dwelling Uses,2019, V5S 3B8
DB-2018-06166,2019-06-05,15000,Demolition / Deconstruction,ON TIME EXCAVATING & DEMOLITION,Dwelling Uses,2019, V5X 3C7
DB-2018-06252,2019-06-05,149112.5,New Building,Tamber Development Inc.,Dwelling Uses,2019, V5X 3C7
DB-2019-02076,2019-06-05,60000,Addition / Alteration,Gurinder Mangat,Dwelling Uses,2019, V5W 1M5
BP-2019-01505,2019-06-06,18500,Addition / Alteration,Farglory Corp,Retail Uses,2019, V6C 1X6
BP-2019-02129,2019-06-06,50000,Addition / Alteration,WOODGREEN CONSTRUCTION INC.,Dwelling Uses,2019, V6Z 3E3
BP-2019-02295,2019-06-06,21000,Addition / Alteration,TotalPlan Inc,Office Uses,2019, V7X 1M3
BP-2019-01928,2019-06-07,100000,Addition / Alteration,Home Suite Home Improvements Inc,Dwelling Uses,2019, V6K 2E9
DB-2018-01165,2019-06-07,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V6P 2C3
DB-2019-00563,2019-06-07,220000,Addition / Alteration,Rezcom Construction Ltd,Dwelling Uses,2019, V6M 2K1
BP-2018-05270,2019-06-10,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2019, V6H 2G1
BP-2019-01746,2019-06-10,30000,Addition / Alteration,Solid General Contractors Inc,Dwelling Uses,2019, V6E 3T1
DB-2018-05433,2019-06-10,237000,New Building,Haoqiu Li,Dwelling Uses,2019, V5N 2X4
DB-2018-06322,2019-06-10,680500,New Building,PHW HOMES INC,Dwelling Uses,2019, V5X 1M6
DB-2019-01014,2019-06-10,671897,New Building,Custom View Homes Ltd,Dwelling Uses,2019, V5P 1E5
BP-2019-01842,2019-06-11,250000,Addition / Alteration,Brookfield Global Integrated Solutions Canada LP,Office Uses,2019, V6A 2V2
DB-2018-04249,2019-06-11,701635,New Building,AAMES Contracting Ltd,Dwelling Uses,2019, V6P 3X8
DB-2019-00073,2019-06-11,294420,New Building,CCK Homes Ltd,Dwelling Uses,2019, V5S 3K8
DB-2019-01542,2019-06-11,15000,Addition / Alteration,Pang Law,Dwelling Uses,2019, V6N 1B6
BP-2019-02185,2019-06-12,500000,Addition / Alteration,Canadian Turner Construction Company Ltd,Office Uses,2019, V6B 0M3
DB-2018-06656,2019-06-12,131750,New Building,Astec Development Ltd,Dwelling Uses,2019, V5V 4T9
DB-2019-00756,2019-06-12,205750,New Building,Py Chue Construction Ltd,Dwelling Uses,2019, V5Y 2J6
BP-2019-00145,2019-06-13,4500000,Addition / Alteration,Kevin James Construction Ltd,Retail Uses,2019, V5X 3X9
BP-2019-02180,2019-06-13,1200000,Addition / Alteration,Mansouri Enterprises Inc,Office Uses,2019, V6G 2C1
BP-2019-02197,2019-06-13,14000,Addition / Alteration,Kiitos Designworks Inc,Dwelling Uses,2019, V5L 2V8
DB-2018-02172,2019-06-13,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5S 2G5
DB-2019-01288,2019-06-13,45500,Demolition / Deconstruction,Marcon Project (612) Ltd,Retail Uses,2019, V6E 1A9
DB-2019-00518,2019-06-14,797250,New Building,Sunrick Development Ltd,Dwelling Uses,2019, V5X 2G4
DB-2019-01642,2019-06-14,4000,Addition / Alteration,Advanco Electric Ltd,Manufacturing Uses,2019, V6A 1C1
DB-2018-05886,2019-06-17,1050400,New Building,Conquest Enterprises Inc,Dwelling Uses,2019, V6L 2T8
DB-2019-01340,2019-06-17,160902.5,New Building,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2019, V5W 1Z4
BP-2019-00062,2019-06-18,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V5K 3G8
BP-2019-00771,2019-06-18,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5Y 2W1
BP-2019-01650,2019-06-18,48000,Addition / Alteration,Kinged Holding Ltd,Dwelling Uses,2019, V5R 5V7
BP-2019-02156,2019-06-18,400000,Addition / Alteration,Mansouri Enterprises Inc,Office Uses,2019, V6G 1C1
BP-2019-02189,2019-06-18,12000,Addition / Alteration,EM2 Solutions Inc,Service Uses,2019, V6C 2W2
BP-2019-02418,2019-06-18,400000,Addition / Alteration,Final Choice Construction Inc,Office Uses,2019, V6B 1M1
BP-2019-02493,2019-06-18,12000,Addition / Alteration,Epic Spaces Inc,Office Uses,2019, V6Z 1S4
DB-2018-05260,2019-06-18,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5X 1E7
DB-2018-05262,2019-06-18,204750,New Building,Jasvir Construction Ltd,Dwelling Uses,2019, V5X 1E7
DB-2018-05367,2019-06-18,208250,New Building,0722563 BC Ltd,Dwelling Uses,2019, V5P 3K1
DB-2019-01669,2019-06-18,20000,Demolition / Deconstruction,Octiscapes Site Services Ltd,Dwelling Uses,2019, V6R 1A6
DB-2018-05058,2019-06-19,1021250,New Building,Double Star Enterprises Ltd.,Dwelling Uses,2019, V5S 2S4
DB-2019-00695,2019-06-19,228500,New Building,Sukhdev Singh Hayer,Dwelling Uses,2019, V5S 1S2
BP-2019-01906,2019-06-20,80000,Addition / Alteration,Stuart A McCormick,Dwelling Uses,2019, V6S 1Y2
DB-2019-00661,2019-06-20,4000,Addition / Alteration,Ho Kin Construction Ltd,Dwelling Uses,2019, V5V 1N7
DB-2019-00786,2019-06-20,20000,Demolition / Deconstruction,HAWK SITEWORKS INC.,Dwelling Uses,2019, V5N 3Z3
DB-2019-00789,2019-06-20,20000,Demolition / Deconstruction,HAWK SITEWORKS INC.,Dwelling Uses,2019, V5N 3Z3
DB-2019-00791,2019-06-20,20000,Demolition / Deconstruction,HAWK SITEWORKS INC.,Dwelling Uses,2019, V5N 3Z3
BP-2019-00393,2019-06-21,922250,New Building,Medallion Homes Inc,Dwelling Uses,2019, V5T 2Y9
DB-2019-00304,2019-06-21,217000,New Building,Golden Fortune Development Inc,Dwelling Uses,2019, V5P 3B4
DB-2019-01352,2019-06-21,1191200,New Building,Tyko Development Ltd,Dwelling Uses,2019, V6L 2G7
DB-2019-01353,2019-06-21,15000,Demolition / Deconstruction,Khela Excavating Ltd.,Dwelling Uses,2019, V6L 2G7
DB-2019-00260,2019-06-24,609112.5,New Building,DKJ Development,Dwelling Uses,2019, V6N 2H4
DB-2019-02205,2019-06-24,48000,Addition / Alteration,Daryl P Martini,Dwelling Uses,2019, V6L 1X4
BP-2018-04215,2019-06-25,15000,Demolition / Deconstruction,Piso Homes Ltd,Dwelling Uses,2019, V5K 2R2
BP-2019-01356,2019-06-25,15000,Demolition / Deconstruction,Bestway Excavating & Demolition 2008 Ltd,Dwelling Uses,2019, V6L 1A5
BP-2019-01742,2019-06-25,90000,Addition / Alteration,Solid General Contractors Inc,Dwelling Uses,2019, V6G 1G4
DB-2018-02580,2019-06-25,85000,Addition / Alteration,Allspaces Design & Management Ltd,Office Uses,2019, V6C 1B4
DB-2018-05641,2019-06-25,718800,New Building,Victoreric Premium Homes Ltd,Dwelling Uses,2019, V5K 1T9
DB-2019-00707,2019-06-25,987000,New Building,E-LOYAL CONSTRUCTION  LTD,Dwelling Uses,2019, V5S 2X1
DB-2019-02042,2019-06-25,105000,Addition / Alteration,Rodrozen Designs Inc,Dwelling Uses,2019, V6Z 3A3
BP-2019-02446,2019-06-26,50000,Addition / Alteration,PGC Enterprises Ltd,Office Uses,2019, V5L 0C7
DB-2019-01161,2019-06-26,193500,New Building,Tsuan Wan Construction,Dwelling Uses,2019, V5M 1M1
DB-2019-01268,2019-06-26,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5P 2H3
DB-2019-02432,2019-06-26,25000,Addition / Alteration,Caisley Developments Ltd,Dwelling Uses,2019, V6R 1G4
BP-2018-05950,2019-06-27,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2019, V5K 2W1
BP-2019-00056,2019-06-27,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V6L 1E6
BP-2019-01171,2019-06-27,20000,Addition / Alteration,Iosif Albusel,Dwelling Uses,2019, V5T 2G9
BP-2019-02260,2019-06-27,2000,Addition / Alteration,Saint Construction Management Ltd,Dwelling Uses,2019, V5K 1C9
DB-2018-05322,2019-06-27,790000,New Building,Desato Enterprises Ltd,Dwelling Uses,2019, V5Y 2A2
BP-2019-00264,2019-07-03,1400000,New Building,Novell Construction Ltd,Dwelling Uses,2019, V5V 1A7
BP-2019-00614,2019-07-03,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2019, V5W 2X8
BP-2019-00658,2019-07-03,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2019, V6R 2X7
BP-2019-02028,2019-07-03,18000,Addition / Alteration,MCKINLEY ELECTRIC LTD,"Manufacturing Uses,Office Uses",2019, V5M 2A4
BP-2019-02041,2019-07-03,90000,Addition / Alteration,1212148 BC Ltd,Retail Uses,2019, V5N 4B6
BP-2019-02453,2019-07-03,19000,Addition / Alteration,Weibel Projects Ltd,Manufacturing Uses,2019, V5X 4E6
BP-2019-02463,2019-07-03,11565.75,Addition / Alteration,City Spark Electrical Ltd,"Cultural/Recreational Uses,Retail Uses",2019, V5W 2V4
BP-2019-02798,2019-07-03,15000,Addition / Alteration,Jute Design & Management Inc,Office Uses,2019, V6E 1T7
DB-2018-05201,2019-07-03,718250,New Building,PBG Construction Ltd,Dwelling Uses,2019, V5X 2M8
DB-2018-04736,2019-07-04,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V5S 2W8
BP-2018-05931,2019-07-05,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5V 4J7
BP-2019-01185,2019-07-05,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V6N 2W5
DB-2018-04751,2019-07-05,775115,New Building,Vandot Home Services & Development Ltd,Dwelling Uses,2019, V5N 2V5
DB-2019-00277,2019-07-05,138000,New Building,Liwa Enterprises Ltd,Dwelling Uses,2019, V1V 1V1
DB-2019-00324,2019-07-05,1327750,New Building,T.A.R.F. Holdings,Dwelling Uses,2019, V6M 2Z2
DB-2019-01070,2019-07-05,192500,New Building,Van Ke Development Inc,Dwelling Uses,2019, V6M 2A8
DB-2019-01202,2019-07-05,161200,New Building,Royalsun Enterprises Ltd,Dwelling Uses,2019, V5P 1H1
DB-2019-02482,2019-07-05,5000,Addition / Alteration,Ashok Kumar Bihal,Dwelling Uses,2019, V5S 3H7
BP-2019-00934,2019-07-08,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2019, V6H 2H4
DB-2019-01529,2019-07-08,160625,New Building,Athoula Management Ltd,Dwelling Uses,2019, V5P 3H4
BP-2019-02409,2019-07-09,80000,Addition / Alteration,Tandem-North Construction Ltd,Dwelling Uses,2019, V6K 1C9
BP-2019-02581,2019-07-09,75000,Addition / Alteration,Matthew Donald Arne Glavind,Dwelling Uses,2019, V6G 3G3
DB-2018-05412,2019-07-09,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2019, V5K 3G2
DB-2018-06669,2019-07-09,15000,Demolition / Deconstruction,TX CONTRACTING LTD,Dwelling Uses,2019, V6P 3W2
DB-2019-00130,2019-07-09,124660,Addition / Alteration,Lyle Construction ltd,Dwelling Uses,2019, V5L 2J3
BP-2019-02860,2019-07-10,110000,Addition / Alteration,TotalPlan Inc,Office Uses,2019, V6C 2X8
DB-2019-01338,2019-07-10,2500,Addition / Alteration,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2019, V6S 1B1
DB-2018-06616,2019-07-11,225000,New Building,Homeline Construction & Renovation Ltd,Dwelling Uses,2019, V1V 1V1
DB-2019-00815,2019-07-11,199590,New Building,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2019, V5K 1E6
BP-2019-02646,2019-07-12,23500,Addition / Alteration,The Dom Group Innovative Products and Services Ltd,Office Uses,2019, V6E 4E6
BP-2017-02006,2019-07-12,500000,Addition / Alteration,Domus Ventures (Balsam) Ltd,"Dwelling Uses,Retail Uses",2019, V5R 2S7
BP-2018-06561,2019-07-12,15000,Addition / Alteration,Ryan R A Kozicki,Dwelling Uses,2019, V6J 1L3
BP-2019-00972,2019-07-12,15000,Demolition / Deconstruction,Vancouver Excavating and Contracting Ltd,Dwelling Uses,2019, V6S 1C8
DB-2019-00783,2019-07-12,194750,New Building,SGP Holdings Ltd,Dwelling Uses,2019, V5X 1Z8
DB-2019-02029,2019-07-12,60000,Addition / Alteration,THT Properties Ltd,Dwelling Uses,2019, V5L 4J4
BP-2019-02243,2019-07-15,478200,Addition / Alteration,"Westpro, a division of Pomerleau Inc",Office Uses,2019, V6C 1E5
DB-2019-00770,2019-07-15,1170032,New Building,Jaswant Singh Basi,Dwelling Uses,2019, V5Y 2W1
DB-2019-02246,2019-07-15,254000,Addition / Alteration,Gray Project Management Ltd,"Office Uses,Retail Uses",2019, V5V 3C8
BP-2018-05072,2019-07-16,15000,Demolition / Deconstruction,ON TIME EXCAVATING & DEMOLITION,Dwelling Uses,2019, V6S 1R9
BP-2018-06545,2019-07-16,15000,Demolition / Deconstruction,Terris Lightfoot Contracting Ltd,Dwelling Uses,2019, V6A 2B7
BP-2019-02350,2019-07-16,40000,Addition / Alteration,R Burpee Construction Ltd,Dwelling Uses,2019, V6H 1C5
BP-2019-02757,2019-07-16,200000,Addition / Alteration,Glenn Edward Rogers,Dwelling Uses,2019, V6G 1T9
BP-2019-02468,2019-07-17,200000,Addition / Alteration,Klondike Contracting Corporation,Service Uses,2019, V6B 2P2
BP-2019-02684,2019-07-17,60000,Addition / Alteration,Capital C Contracting Inc,Dwelling Uses,2019, V6G 1H2
DB-2019-00457,2019-07-17,1065000,Addition / Alteration,URL Contracting Ltd,"Dwelling Uses,Office Uses,Retail Uses",2019, V6A 1B5
BP-2019-02444,2019-07-18,50000,Addition / Alteration,Entice Developments,Retail Uses,2019, V6B 1V5
DB-2018-05475,2019-07-19,1431000,New Building,J&K Enterprises Ltd,Dwelling Uses,2019, V6P 1K6
BP-2019-02744,2019-07-22,30000,Addition / Alteration,Black Fern Construction Limited,Office Uses,2019, V5Z 0E9
BP-2019-02981,2019-07-22,20100,Addition / Alteration,Sasco Contractors,Dwelling Uses,2019, V7J 2J7
DB-2019-00061,2019-07-22,733302.5,New Building,Nucasa Development,Dwelling Uses,2019, V5K 3G8
DB-2019-02645,2019-07-22,60000,Addition / Alteration,Koru Construction Ltd,Dwelling Uses,2019, V5M 2S3
BP-2019-02850,2019-07-23,80000,Addition / Alteration,MYK Construction Ltd,Dwelling Uses,2019, V6M 2J6
DB-2018-04588,2019-07-23,842750,New Building,Cedric Burgers Developments Ltd,Dwelling Uses,2019, V5Y 2E8
DB-2018-05169,2019-07-23,262400,New Building,Cedric Burgers Developments Ltd,Dwelling Uses,2019, V5Y 2E8
DB-2019-00557,2019-07-23,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V5W 3J5
BP-2019-02315,2019-07-24,170000,Addition / Alteration,Omicron Construction Ltd,Office Uses,2019, V7X 1K8
BP-2019-02630,2019-07-24,7500,Addition / Alteration,1186186 BC Ltd,Dwelling Uses,2019, V5Z 1N2
DB-2019-00320,2019-07-24,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5S 2V1
DB-2019-01304,2019-07-24,50000,Addition / Alteration,Mazh Constuction Inc,"Office Uses,Retail Uses",2019, V5N 2T7
DB-2018-05930,2019-07-25,748750,New Building,683058 BC Ltd,Dwelling Uses,2019, V5V 4J7
DB-2019-01355,2019-07-25,724078.5,New Building,Mountain Tai Construction & Management Ltd,Dwelling Uses,2019, V6L 1A5
DB-2018-03601,2019-07-26,15000,Demolition / Deconstruction,Assertive Excavating & Demolition Ltd,Dwelling Uses,2019, V6R 4H9
DB-2018-04214,2019-07-26,626000,New Building,Piso Homes Ltd,Dwelling Uses,2019, V5K 2R2
DB-2019-01471,2019-07-26,224875,New Building,Five River Holdings Ltd,Dwelling Uses,2019, V5S 1X6
DB-2019-01576,2019-07-26,1046500,New Building,Liwa Enterprises Ltd,Dwelling Uses,2019, V5S 2V4
DB-2019-01582,2019-07-26,231500,New Building,Liwa Enterprises Ltd,Dwelling Uses,2019, V5S 2V4
BP-2019-02778,2019-07-29,20000,Addition / Alteration,Splendid Renovations,Dwelling Uses,2019, V6K 1C5
DB-2018-05659,2019-07-29,15000,Demolition / Deconstruction,SANDHAR CONTRACTING LTD.,Dwelling Uses,2019, V5R 1Z7
DB-2019-00058,2019-07-29,160125,New Building,Ladhar Development Group,Dwelling Uses,2019, V6L 1E6
BP-2019-01503,2019-07-30,800000,New Building,Stadium Homes Ltd,Dwelling Uses,2019, V5T 2M1
BP-2019-02911,2019-07-30,101083,Addition / Alteration,Lerazo Contracting Inc,Dwelling Uses,2019, V6C 1C8
BP-2019-03201,2019-07-30,25000,Addition / Alteration,PCL CONSTRUCTORS WESTCOAST INC,Retail Uses,2019, V7Y 1K8
DB-2018-06419,2019-07-30,1120642.5,New Building,DREAMHOUSE CONSTRUCTION LTD.,Dwelling Uses,2019, V5S 3B3
DB-2018-06422,2019-07-30,224855,New Building,DREAMHOUSE CONSTRUCTION LTD.,Dwelling Uses,2019, V5S 3B3
DB-2018-06575,2019-07-30,765500,New Building,Killarney Development Ltd,Dwelling Uses,2019, V6S 1M8
DB-2019-00619,2019-07-30,160250,New Building,Hamid-Reza Rahmati,Dwelling Uses,2019, V6R 4E5
DB-2019-01537,2019-07-30,1544650,New Building,LS Developments,Dwelling Uses,2019, V5N 3B6
DB-2019-01538,2019-07-30,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5N 3B6
DB-2019-01672,2019-07-30,225000,New Building,Golden Fortune Development Inc,Dwelling Uses,2019, V5P 2L3
DB-2019-01734,2019-07-30,224942.5,New Building,L S Developments Ltd,Dwelling Uses,2019, V5N 3B6
DB-2019-01010,2019-07-31,1109000,New Building,Cypher Developments Ltd,Dwelling Uses,2019, V6P 1A4
DB-2019-01013,2019-07-31,237750,New Building,Cypher Developments Ltd,Dwelling Uses,2019, V6P 1A4
DB-2019-02146,2019-07-31,60000,Addition / Alteration,T Q Construction Ltd,Dwelling Uses,2019, V5N 2R2
BP-2019-03287,2019-08-01,45000,Addition / Alteration,Central West Project Management Inc,Office Uses,2019, V6C 2T7
DB-2019-01344,2019-08-01,737700,New Building,Averra Developments Inc,Dwelling Uses,2019, V6S 1B5
DB-2019-03141,2019-08-01,5000,Addition / Alteration,Milani Drainage & Plumbing Supplies Ltd,Dwelling Uses,2019, V6Z 2Y2
BP-2019-01079,2019-08-02,15000,Demolition / Deconstruction,Norman Ernest Gervais,Dwelling Uses,2019, V5K 1C3
BP-2019-01714,2019-08-02,1303867,New Building,Feature Projects Ltd,Dwelling Uses,2019, V6J 2S9
DB-2018-06639,2019-08-02,15000,Demolition / Deconstruction,Swift Site Services Ltd,Dwelling Uses,2019, V5X 1J2
DB-2019-00126,2019-08-02,176125,New Building,Grand Hill Development Ltd,Dwelling Uses,2019, V5X 1J2
DB-2019-00465,2019-08-02,139500,New Building,Astec Development Ltd,Dwelling Uses,2019, V5S 1E6
DB-2019-01540,2019-08-02,246000,New Building,World Class Homes Ltd,Dwelling Uses,2019, V5X 2G9
DB-2019-01715,2019-08-02,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2019, V6J 2S9
BP-2019-00672,2019-08-06,80000,Addition / Alteration,Counterpoint Interiors Inc,Office Uses,2019, V6C 3L2
BP-2019-02784,2019-08-06,169500,Addition / Alteration,Blue Rock Construction Management Ltd,Retail Uses,2019, V6B 2T4
BP-2019-02066,2019-08-07,15000,Demolition / Deconstruction,D & S Bulldozing Ltd,Dwelling Uses,2019, V5Y 2B2
BP-2019-03350,2019-08-07,80000,Addition / Alteration,BC Coastal Projects Ltd.,Office Uses,2019, V6E 4A2
DB-2018-06584,2019-08-07,705250,New Building,Besttin Construction Group Inc.,Dwelling Uses,2019, V5K 1J9
BP-2019-01797,2019-08-08,4700,Addition / Alteration,Matriarch Integrated Service Systems Inc,Dwelling Uses,2019, V6J 1J3
BP-2019-03379,2019-08-08,15000,Addition / Alteration,Axiom Builders Inc,Office Uses,2019, V6C 2J4
DB-2018-05804,2019-08-08,15000,Demolition / Deconstruction,Kingsman Excavating Ltd.,Dwelling Uses,2019, V6A 2J9
BP-2018-04844,2019-08-09,22475000,New Building,Wesgroup Contracting Ltd,Dwelling Uses,2019, V1V 1V1
DB-2019-00434,2019-08-09,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V6L 2T6
DB-2019-02094,2019-08-09,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V6N 2Z3
BP-2019-02583,2019-08-12,70000,Addition / Alteration,PCL CONSTRUCTORS WESTCOAST INC,Office Uses,2019, V6B 5R4
DB-2018-05269,2019-08-12,955250,New Building,Desato Enterprises Ltd,Dwelling Uses,2019, V6H 2G1
DB-2018-05949,2019-08-12,631000,New Building,ANIMARK HOLDINGS LTD,Dwelling Uses,2019, V5K 2W1
DB-2019-02201,2019-08-12,600000,Addition / Alteration,NYTA Contracting Ltd.,Dwelling Uses,2019, V6M 3J4
BP-2019-03041,2019-08-13,17000,Addition / Alteration,Epic Spaces Inc,Office Uses,2019, V6B 5A1
BP-2019-03119,2019-08-13,20000,Addition / Alteration,Pacific Solutions Contracting Ltd,Office Uses,2019, V5Y 1N3
BP-2019-03384,2019-08-13,1461500,Addition / Alteration,New Image Projects Inc.,Office Uses,2019, V6E 3P3
DB-2018-05286,2019-08-14,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5S 3C8
DB-2019-00493,2019-08-14,161000,New Building,Nelson Toy,Dwelling Uses,2019, V5M 2Z9
DB-2019-00657,2019-08-14,705750,New Building,Desato Enterprises Ltd,Dwelling Uses,2019, V6R 2X7
BP-2019-01122,2019-08-15,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V5K 1L9
BP-2019-03043,2019-08-15,450000,Addition / Alteration,Consolidated Electrical Installations Ltd,Cultural/Recreational Uses,2019, V6C 1C6
BP-2019-03312,2019-08-15,1000,Addition / Alteration,Focus Project Management Ltd,Office Uses,2019, V6E 2E9
DB-2018-05497,2019-08-15,1370312.5,New Building,Sian Development And Contracting Ltd,Dwelling Uses,2019, V5S 2P2
DB-2019-00590,2019-08-15,690500,New Building,SBPS Homes Ltd,Dwelling Uses,2019, V5R 1J9
DB-2019-00591,2019-08-15,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5R 1J9
DB-2019-03055,2019-08-15,21000,Addition / Alteration,Rick MacDonald,Dwelling Uses,2019, V6K 3M4
BP-2019-01520,2019-08-16,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5Y 2G3
BP-2019-02537,2019-08-16,190000,Addition / Alteration,Humphries Construction Group Ltd,Service Uses,2019, V6M 1Z6
DB-2018-05595,2019-08-16,785000,New Building,Infinity Custom Homes Ltd,Dwelling Uses,2019, V5P 1Y6
DB-2018-05754,2019-08-16,603515,New Building,View Point Construction Ltd,Dwelling Uses,2019, V6R 2S9
DB-2018-05755,2019-08-16,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2019, V6R 2S9
BP-2019-00930,2019-08-19,15000,Demolition / Deconstruction,Octiscapes Site Services Ltd,Dwelling Uses,2019, V5V 1H7
BP-2019-02828,2019-08-19,350000,Addition / Alteration,Watermark Projects Ltd,Retail Uses,2019, V6K 2G5
BP-2019-03196,2019-08-19,50000,Addition / Alteration,CE Miles Construction Ltd,Office Uses,2019, V6H 1E2
BP-2019-03202,2019-08-19,5000,Addition / Alteration,Allspaces Design & Management Ltd,Office Uses,2019, V6C 2J4
DB-2019-00928,2019-08-19,169750,New Building,AMPM Custom Homes Inc,Dwelling Uses,2019, V5X 1N7
BP-2019-03424,2019-08-20,50000,Addition / Alteration,Silver Fern Ventures Inc,Office Uses,2019, V6J 4Z6
DB-2019-01633,2019-08-20,853750,New Building,Home Vitality Solutions Ltd,Dwelling Uses,2019, V5P 2E4
DB-2019-01636,2019-08-20,207500,New Building,Home Vitality Solutions Ltd,Dwelling Uses,2019, V5P 4H5
BP-2018-06476,2019-08-21,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V6M 1M5
DB-2019-03301,2019-08-21,20000,Addition / Alteration,City Wide Building Inc,Cultural/Recreational Uses,2019, V5Z 2M9
DB-2019-03334,2019-08-21,4500,Addition / Alteration,Whitestone Management Ltd,Dwelling Uses,2019, V6R 2C3
